FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
33,40,07000000000000616008607,6,16,86,7.0,70000000.0,0,229.723959597,2966.46520421,,0,B336070000000,29,136454.57537,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,2252.56897501
34,41,07000000000001116008607,11,16,86,7.0,70000000.0,0,104.492082463,710.402590307,,0,B3411070000000,29,136454.57537,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,135.487397627
35,42,07000000000001016008607,10,16,86,7.0,70000000.0,0,109.148880049,718.117534933,,0,B3510070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,213.967682163
36,43,07000000000000916008607,9,16,86,7.0,70000000.0,0,130.073419021,954.819721035,,0,B369070000000,29,136454.57537,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,415.63863818
37,44,07000000000000716008607,7,16,86,7.0,70000000.0,0,202.108213112,2480.25621916,,0,B377070000000,29,136454.57537,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1419.76408189
38,45,07000000000015316008607,153,16,86,7.0,70000000.0,0,112.623494228,742.714279714,,0,B38153070000000,29,136454.57537,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,739.926143862
39,46,07000000000015416008607,154,16,86,7.0,70000000.0,0,118.492821771,824.333970828,,0,B39154070000000,29,136454.57537,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,611.471835036
40,47,07000000000015516008607,155,16,86,7.0,70000000.0,0,112.816005393,748.810519431,,0,B40155070000000,29,136454.57537,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,287.988498533
41,48,07000000000014716008607,147,16,86,7.0,70000000.0,0,223.740339227,2105.88592003,,0,B41147070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,145.911896199
4,7,07000000000000216008607,2,16,86,7.0,70000000.0,0,137.842911588,1227.79773038,,0,B42070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,5.31087394579
42,49,07000000099999216008607,148,16,86,7.0,70000000.0,0,214.065000075,2183.71676539,,0,B42148070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,1051.3596268
43,50,07000000099999116008607,999991,16,86,7.0,70000000.0,0,150.279889592,1268.99675444,,0,B43999991070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,0.0806457243476
44,51,07000000099999016008607,999990,16,86,7.0,70000000.0,0,123.549312794,944.78168332,,0,B44999990070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,845.517912816
45,52,07000000099998916008607,999989,16,86,7.0,70000000.0,0,146.972620059,1331.94753081,,0,B45999989070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,82.9888151539
