FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1986,2086.27479696,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,2086.27479697
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1987,1171.96524566,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1171.96524569
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1988,18816.1957697,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,18816.1957698
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1989,5254.66914214,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,5254.66914211
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1990,362.467501851,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,362.467501849
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1991,42839.4093794,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,42839.4093795
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1992,6976.42903313,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,6976.42903316
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1993,10403.8614922,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,10403.8614922
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1994,16405.8276379,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,16405.8276107
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1995,570.954615768,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,570.954615785
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1996,465.120549911,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,465.120549889
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1997,273.1342605,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,273.134260506
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1998,389.176368463,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,389.176368463
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1999,1656.18226111,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1600.19747333
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2000,1379.22911059,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1379.22911062
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2001,897.039219179,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,897.039219188
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2002,2921.84436001,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,2921.84436004
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2003,428.56628942,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,428.566289417
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2004,178.780475704,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,178.780475697
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2005,133.805856861,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,133.805856851
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2006,620.176821689,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,620.176821642
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2007,1501.16208617,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1501.16208618
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2008,3713.08406098,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3713.08406098
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2009,31172.2689436,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,31172.2689436
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2010,4465.38263671,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,4465.38263676
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2011,1568.76241601,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1568.76241595
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2012,4292.68819967,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,4292.68819965
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2013,34626.5213933,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,34626.5213933
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2014,3256.33455232,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3256.33455241
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2015,14967.0516837,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,14967.0516836
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2016,72343.4799177,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,72343.4799179
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2017,13280.3232831,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,13280.3232831
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2018,59.1684120252,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,59.1684119945
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2019,4119.89701953,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,4119.89701956
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2020,9255.74319594,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,9255.74319601
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2021,25394.733713,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,25394.7337101
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2022,10352.9314945,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,10352.9314945
-1,0,,0,0,0,,,0,0.0,0.0,,0,,2023,2576.98926366,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,2576.98926363
